"","rules","support","confidence","coverage","lift","count"
"1","{A28} => {A31}",0.0103637725797053,0.529787234042553,0.0195621410139016,11.1459440324925,249
"2","{B5} => {B4}",0.00953134104719887,0.442084942084942,0.0215599766919171,3.30682839929415,229
"3","{B6} => {B4}",0.00986431366020145,0.381028938906752,0.0258886206609506,2.8501249334289,237
"4","{B25} => {B26}",0.00923999001082161,0.342592592592593,0.026970781653209,7.31006183803697,222
"5","{B25} => {B32}",0.0100724215433281,0.373456790123457,0.026970781653209,7.21275951728792,242
"6","{B25} => {B24}",0.0129859319071006,0.481481481481481,0.026970781653209,7.04082414733662,312
"7","{A29} => {A4}",0.0103637725797053,0.402261712439418,0.0257637559310747,4.34565643123627,249
"8","{B21} => {B26}",0.00948971947057355,0.289707750952986,0.0327561808041289,6.18163270372686,228
"9","{B21} => {B13}",0.0107799883459585,0.329097839898348,0.0327561808041289,4.41726519631157,259
"10","{B21} => {B24}",0.0128610671772247,0.392630241423126,0.0327561808041289,5.74153023763361,309
"11","{B21} => {B10}",0.0114043119953384,0.348157560355781,0.0327561808041289,3.46369919052091,274
"12","{A41} => {A31}",0.0124448514109714,0.45166163141994,0.0275534837259635,9.50229628414665,299
"13","{A31} => {A41}",0.0124448514109714,0.261821366024518,0.0475318405061184,9.50229628414665,299
"14","{A41} => {A4}",0.0100307999667027,0.36404833836858,0.0275534837259635,3.93283515181812,241
"15","{A33} => {A21}",0.013027553483726,0.452966714905933,0.0287605094480979,9.67375848207107,313
"16","{A21} => {A33}",0.013027553483726,0.278222222222222,0.0468242737034879,9.67375848207107,313
"17","{A33} => {A16}",0.0097810705069508,0.340086830680174,0.0287605094480979,6.59477497491675,235
"18","{P8} => {P3}",0.0105718804628319,0.424040066777963,0.0249313243985682,10.157514102101,254
"19","{P3} => {P8}",0.0105718804628319,0.253240279162512,0.0417464413551985,10.157514102101,254
"20","{P8} => {P1}",0.0122783651044702,0.492487479131886,0.0249313243985682,5.22175824078672,295
"21","{P7} => {P1}",0.011487555148589,0.48936170212766,0.0234745692166819,5.18861617622204,276
"22","{A37} => {A17}",0.00923999001082161,0.325991189427313,0.0283442936818447,5.81028510176604,222
"23","{P14} => {P3}",0.00919836843419629,0.321220930232558,0.0286356447182219,7.69457035869137,221
"24","{P14} => {P1}",0.0116956630317156,0.40843023255814,0.0286356447182219,4.33051401917117,281
"25","{C29} => {C40}",0.00953134104719887,0.336270190895742,0.0283442936818447,8.20226152940212,229
"26","{B30} => {B19}",0.00986431366020145,0.283492822966507,0.0347956380587697,7.04363863970352,237
"27","{B30} => {B32}",0.0105302588862066,0.302631578947368,0.0347956380587697,5.84487645963784,253
"28","{B30} => {B31}",0.01290268875385,0.370813397129187,0.0347956380587697,7.15021081815878,310
"29","{B30} => {B23}",0.0116956630317156,0.336124401913876,0.0347956380587697,6.47093339774261,281
"30","{B30} => {B24}",0.0128610671772247,0.369617224880383,0.0347956380587697,5.40500513997327,309
"31","{B30} => {B10}",0.0108632314992092,0.312200956937799,0.0347956380587697,3.10597937531576,261
"32","{P11} => {P3}",0.00944809789394822,0.348694316436252,0.027095646383085,8.35267163180198,227
"33","{P11} => {P1}",0.0110297178057105,0.407066052227343,0.027095646383085,4.31604985472821,265
"34","{B9} => {B4}",0.0148172812786148,0.472148541114058,0.0313826687754932,3.53170636637807,356
"35","{C50} => {C49}",0.010197286273204,0.334699453551913,0.0304669940897361,10.4980275078828,245
"36","{C49} => {C50}",0.010197286273204,0.319843342036554,0.0318821276949971,10.4980275078828,245
"37","{P5} => {P1}",0.0119453924914676,0.399165507649513,0.0299259135936069,4.2322817682203,287
"38","{B27} => {B26}",0.0101556646965787,0.273542600896861,0.0371264463497877,5.83670917331082,244
