"","rules","support","confidence","lift","itemset"
"1","{A20} => {A19}",0.00545242653791726,0.275210084033613,20.097864677786,1
"2","{A19} => {A20}",0.00545242653791726,0.398176291793313,20.097864677786,1
"3","{B22} => {B10}",0.00699242487305419,0.448,4.45699710144928,2
"4","{B10} => {B22}",0.00699242487305419,0.0695652173913043,4.45699710144928,2
"5","{B24} => {B22}",0.00578539915091984,0.0846013390139988,5.42035138973423,3
"6","{B22} => {B24}",0.00578539915091984,0.370666666666667,5.42035138973423,3
"7","{B22} => {B11}",0.00578539915091984,0.370666666666667,6.22336641043559,4
"8","{B11} => {B22}",0.00578539915091984,0.0971348707197764,6.22336641043559,4
"9","{B27} => {B22}",0.00520269707816532,0.140134529147982,8.97832585949178,5
"10","{B22} => {B27}",0.00520269707816532,0.333333333333333,8.97832585949178,5
"11","{B22} => {B21}",0.00549404811454258,0.352,10.7460635324015,6
"12","{B21} => {B22}",0.00549404811454258,0.167725540025413,10.7460635324015,6
"13","{A31} => {A25}",0.00674269541330226,0.141856392294221,10.2043164109609,7
"14","{A25} => {A31}",0.00674269541330226,0.48502994011976,10.2043164109609,7
"15","{A41} => {A25}",0.00570215599766919,0.206948640483384,14.8866707672269,8
"16","{A25} => {A41}",0.00570215599766919,0.410179640718563,14.8866707672269,8
"17","{A4} => {A27}",0.00740864063930742,0.0800359712230216,4.9306262682162,9
"18","{A27} => {A4}",0.00740864063930742,0.456410256410256,4.9306262682162,9
"19","{A31} => {A27}",0.00657620910680097,0.138353765323993,8.52330145044681,10
"20","{A27} => {A31}",0.00657620910680097,0.405128205128205,8.52330145044681,10
"21","{A41} => {A27}",0.00503621077166403,0.182779456193353,11.2601518320552,11
"22","{A27} => {A41}",0.00503621077166403,0.31025641025641,11.2601518320552,11
"23","{B20} => {B10}",0.00678431698992758,0.442934782608696,4.40660500495094,12
"24","{B10} => {B20}",0.00678431698992758,0.0674948240165631,4.40660500495094,12
"25","{B24} => {B20}",0.00732539748605677,0.107121119902617,6.99372833364207,13
"26","{B20} => {B24}",0.00732539748605677,0.478260869565217,6.99372833364207,13
"27","{B20} => {B13}",0.00599350703404645,0.391304347826087,5.2522224921059,14
"28","{B13} => {B20}",0.00599350703404645,0.0804469273743017,5.2522224921059,14
"29","{B23} => {B20}",0.00536918338466661,0.103365384615385,6.74852372491639,15
"30","{B20} => {B23}",0.00536918338466661,0.35054347826087,6.74852372491639,15
"31","{B31} => {B20}",0.00503621077166403,0.0971107544141252,6.34017115639612,16
"32","{B20} => {B31}",0.00503621077166403,0.328804347826087,6.34017115639612,16
"33","{B26} => {B20}",0.00599350703404645,0.127886323268206,8.34944783380956,17
"34","{B20} => {B26}",0.00599350703404645,0.391304347826087,8.34944783380956,17
"35","{B20} => {B19}",0.00520269707816532,0.339673913043478,8.43950923969246,18
"36","{B19} => {B20}",0.00520269707816532,0.129265770423992,8.43950923969246,18
"37","{B21} => {B20}",0.00753350536918338,0.229987293519695,15.0154204187614,19
"38","{B20} => {B21}",0.00753350536918338,0.491847826086957,15.0154204187614,19
"39","{A4} => {A35}",0.00578539915091984,0.0625,3.35184151785714,20
"40","{A35} => {A4}",0.00578539915091984,0.310267857142857,3.35184151785714,20
"41","{A35} => {A15}",0.00620161491717306,0.332589285714286,3.5881410770415,21
"42","{A15} => {A35}",0.00620161491717306,0.0669061517736866,3.5881410770415,21
"43","{B7} => {B4}",0.00728377590943145,0.405092592592593,3.0301228610304,22
"44","{B4} => {B7}",0.00728377590943145,0.0544831880448319,3.0301228610304,22
"45","{A4} => {A23}",0.00624323649379839,0.0674460431654676,4.25317226533734,23
"46","{A23} => {A4}",0.00624323649379839,0.393700787401575,4.25317226533734,23
"47","{A31} => {A23}",0.00657620910680097,0.138353765323993,8.72463927998492,24
"48","{A23} => {A31}",0.00657620910680097,0.414698162729659,8.72463927998492,24
"49","{B8} => {B4}",0.00782485640556064,0.413186813186813,3.09066823587372,25
"50","{B4} => {B8}",0.00782485640556064,0.0585305105853051,3.09066823587372,25
"51","{B8} => {B1}",0.00507783234828935,0.268131868131868,4.46440489517413,26
"52","{B1} => {B8}",0.00507783234828935,0.0845460845460845,4.46440489517413,26
"53","{P51} => {P1}",0.00532756180804129,0.347826086956522,3.68793890786293,27
"54","{P1} => {P51}",0.00532756180804129,0.0564872021182701,3.68793890786293,27
"55","{P51} => {P48}",0.00624323649379839,0.407608695652174,12.9883375619882,28
"56","{P48} => {P51}",0.00624323649379839,0.19893899204244,12.9883375619882,28
"57","{A4} => {A26}",0.00699242487305419,0.0755395683453237,4.23056799315792,29
"58","{A26} => {A4}",0.00699242487305419,0.391608391608392,4.23056799315792,29
"59","{A31} => {A26}",0.00595188545742113,0.125218914185639,7.0128429655575,30
"60","{A26} => {A31}",0.00595188545742113,0.333333333333333,7.0128429655575,30
"61","{A41} => {A26}",0.00536918338466661,0.194864048338369,10.9132951640504,31
"62","{A26} => {A41}",0.00536918338466661,0.300699300699301,10.9132951640504,31
"63","{A29} => {A26}",0.00690918171980355,0.268174474959612,15.0190208283908,32
"64","{A26} => {A29}",0.00690918171980355,0.386946386946387,15.0190208283908,32
"65","{P65} => {P15}",0.00561891284441855,0.402985074626866,7.17194029850746,33
"66","{P15} => {P65}",0.00561891284441855,0.1,7.17194029850746,33
"67","{P41} => {P1}",0.00524431865479064,0.388888888888889,4.12332058448563,34
"68","{P1} => {P41}",0.00524431865479064,0.0556045895851721,4.12332058448563,34
"69","{P78} => {P1}",0.00532756180804129,0.337730870712401,3.58090110314923,35
"70","{P1} => {P78}",0.00532756180804129,0.0564872021182701,3.58090110314923,35
"71","{P82} => {P78}",0.00545242653791726,0.197586726998492,12.5256430154769,36
"72","{P78} => {P82}",0.00545242653791726,0.345646437994723,12.5256430154769,36
"73","{A39} => {A17}",0.00557729126779322,0.309468822170901,5.5157996450134,37
"74","{A17} => {A39}",0.00557729126779322,0.099406528189911,5.5157996450134,37
"75","{A39} => {A37}",0.00557729126779322,0.309468822170901,10.9182054647255,38
"76","{A37} => {A39}",0.00557729126779322,0.196769456681351,10.9182054647255,38
"77","{P36} => {P33}",0.00536918338466661,0.323308270676692,10.1539928252003,39
"78","{P33} => {P36}",0.00536918338466661,0.168627450980392,10.1539928252003,39
"79","{P82} => {P29}",0.00628485807042371,0.227752639517345,15.1999581028993,40
"80","{P29} => {P82}",0.00628485807042371,0.419444444444444,15.1999581028993,40
"81","{P29} => {P26}",0.0060767501872971,0.405555555555556,18.010864653933,41
"82","{P26} => {P29}",0.0060767501872971,0.269870609981516,18.010864653933,41
"83","{A38} => {A11}",0.00574377757429451,0.317972350230415,3.11312293668946,42
"84","{A11} => {A38}",0.00574377757429451,0.0562347188264059,3.11312293668946,42
"85","{B33} => {B10}",0.00690918171980355,0.397129186602871,3.95090096783461,43
"86","{B10} => {B33}",0.00690918171980355,0.0687370600414079,3.95090096783461,43
"87","{B33} => {B24}",0.0068259385665529,0.392344497607655,5.73735173434055,44
"88","{B24} => {B33}",0.0068259385665529,0.0998174071819842,5.73735173434055,44
"89","{B33} => {B13}",0.00541080496129193,0.311004784688995,4.17441394242335,45
"90","{B13} => {B33}",0.00541080496129193,0.0726256983240224,4.17441394242335,45
"91","{B33} => {B23}",0.00624323649379839,0.358851674641148,6.90846981965403,46
"92","{B23} => {B33}",0.00624323649379839,0.120192307692308,6.90846981965403,46
"93","{B33} => {B31}",0.0055356696911679,0.318181818181818,6.13534218590398,47
"94","{B31} => {B33}",0.0055356696911679,0.106741573033708,6.13534218590398,47
"95","{B33} => {B19}",0.00632647964704903,0.363636363636364,9.03487825514713,48
"96","{B19} => {B33}",0.00632647964704903,0.157187176835574,9.03487825514713,48
"97","{C5} => {C15}",0.00545242653791726,0.079683698296837,3.90710313322409,49
"98","{C15} => {C5}",0.00545242653791726,0.26734693877551,3.90710313322409,49
"99","{A20} => {A11}",0.00586864230417048,0.296218487394958,2.90014074089293,50
"100","{A11} => {A20}",0.00586864230417048,0.0574572127139364,2.90014074089293,50
"101","{P55} => {P1}",0.00536918338466661,0.32741116751269,3.47148310267427,51
"102","{P1} => {P55}",0.00536918338466661,0.0569285083848191,3.47148310267427,51
"103","{P55} => {P49}",0.00653458753017564,0.398477157360406,15.9033424962477,52
"104","{P49} => {P55}",0.00653458753017564,0.260797342192691,15.9033424962477,52
"105","{P60} => {P55}",0.00649296595355032,0.347438752783964,21.1867093258567,53
"106","{P55} => {P60}",0.00649296595355032,0.395939086294416,21.1867093258567,53
"107","{P77} => {P1}",0.00570215599766919,0.33252427184466,3.52569644984104,54
"108","{P1} => {P77}",0.00570215599766919,0.060458958517211,3.52569644984104,54
"109","{P82} => {P77}",0.00670107383667693,0.242835595776772,14.1610874372154,55
"110","{P77} => {P82}",0.00670107383667693,0.390776699029126,14.1610874372154,55
"111","{P34} => {P1}",0.00503621077166403,0.305555555555556,3.23975188781014,56
"112","{P1} => {P34}",0.00503621077166403,0.0533980582524272,3.23975188781014,56
"113","{P34} => {P33}",0.00782485640556064,0.474747474747475,14.9101736317423,57
"114","{P33} => {P34}",0.00782485640556064,0.245751633986928,14.9101736317423,57
"115","{P19} => {P1}",0.00615999334054774,0.405479452054795,4.29922741176897,58
"116","{P1} => {P19}",0.00615999334054774,0.0653133274492498,4.29922741176897,58
"117","{P49} => {P19}",0.00578539915091984,0.230897009966777,15.1987166067446,59
"118","{P19} => {P49}",0.00578539915091984,0.380821917808219,15.1987166067446,59
"120","{A28} => {B4}",0.00541080496129193,0.276595744680851,2.0689568373917,60
"121","{A4} => {A28}",0.00603512861067177,0.0651978417266187,3.33285818153987,61
"122","{A28} => {A4}",0.00603512861067177,0.308510638297872,3.33285818153987,61
"123","{A28} => {A15}",0.00516107550154,0.263829787234043,2.84632890349578,62
"124","{A15} => {A28}",0.00516107550154,0.0556802873821284,2.84632890349578,62
"125","{A31} => {A28}",0.0103637725797053,0.218038528896672,11.1459440324925,63
"126","{A28} => {A31}",0.0103637725797053,0.529787234042553,11.1459440324925,63
"127","{A41} => {A28}",0.00674269541330226,0.244712990936556,12.5095198303015,64
"128","{A28} => {A41}",0.00674269541330226,0.34468085106383,12.5095198303015,64
"129","{P72} => {P1}",0.00549404811454258,0.368715083798883,3.90942127244129,65
"130","{P1} => {P72}",0.00549404811454258,0.058252427184466,3.90942127244129,65
"131","{B28} => {B10}",0.00649296595355032,0.34061135371179,3.38862458976376,66
"132","{B10} => {B28}",0.00649296595355032,0.0645962732919255,3.38862458976376,66
"133","{B28} => {B24}",0.00774161325231,0.406113537117904,5.9386998434539,67
"134","{B24} => {B28}",0.00774161325231,0.113207547169811,5.9386998434539,67
"135","{B28} => {B13}",0.00561891284441855,0.294759825327511,3.95636847112781,68
"136","{B13} => {B28}",0.00561891284441855,0.0754189944134078,3.95636847112781,68
"137","{B28} => {B15}",0.00574377757429451,0.301310043668122,5.34658427560584,69
"138","{B15} => {B28}",0.00574377757429451,0.10192023633678,5.34658427560584,69
